application| vulnerability_type| CWE| severity| description| tools| URL| file| line| exploit
i2| SQL Injection| CWE-89| Critical| It is possible to insert SQL Injection into the firstname field to obtain data from any table. It is also possible to insert SQL Functions (ex: Sleep)| ZAP/WAP| http://localhost/vuln_wa/SQL/sql1.php| sql1.php| 40| Insert <John' OR '1'='1' -- > in the firstname field
i2| OS Command Injection| CWE-78| Critical| It is possible to send a OS Command in the URL and list any file in the server's directory| ZAP/WAP| http://localhost/vuln_wa/CommandExecution/CommandExec-1.php?username=cat+%2Fetc%2Fpasswd&password=password| CommandExec-1.php| 25| Access the URL
i2| SQL Injection| CWE-89| Low| possible to insert SQL Injection into the number field to list all books and their authors| WAP| http://localhost/vuln_wa/SQL/sql2.php| sql2.php| 39| Insert < 0 OR 1=1 > in the Book's number field 
i2| SQL Injection| CWE-89| Low| possible to insert SQL Injection into the number field to list all books and their authors| WAP| http://localhost/vuln_wa/SQL/sql3.php| sql3.php| 39| Insert < 0' OR '1'='1 > in the Book's number field
i2| SQL Injection| CWE-89| Low| possible to insert SQL Injection into the number field to list all books and their authors| WAP| http://localhost/vuln_wa/SQL/sql4.php| sql4.php| 52| Insert < 0 OR 1=1 > in the Book's number field
i2| Reflected XSS| CWE-79| Critical| It is possible to execute scripts client-side. They can be inserted via the username field| ZAP| http://localhost/vuln_wa/FileInclusion/pages/lvl1.php?file=%3C%2Fh5%3E%3CscrIpt%3Ealert%281%29%3B%3C%2FscRipt%3E%3Ch5%3E| lvl1.php| 26| Access the URL
i2| Reflected XSS| CWE-79| Critical| It is possible to execute scripts client-side. They can be inserted in the username field| ZAP/WAP| http://localhost/vuln_wa/XSS/XSS_level1.php?username=%3CscrIpt%3Ealert%281%29%3B%3C%2FscRipt%3E&submit=Submit| XSS_level1.php| 22| Access the URL
i2| Reflected XSS| CWE-79| Critical| possible to execute script through the user field| WAP| http://localhost/vuln_wa/XSS/XSS_level2.php| XSS_level2.php| 22| Insert ?><<script>script>alert("XSS")</script> in the name field
i2| OS Command Injection| CWE-78| Critical| possible to execute OS command through the typebox field| WAP| http://localhost/vuln_wa/CommandExecution/CommandExec-2.php| CommandExec-2.php| 25| Insert < ls > in the name field
i2| OS Command Injection| CWE-78| Critical| possible to execute OS command through the typebox field| WAP| http://localhost/vuln_wa/CommandExecution/CommandExec-4.php| CommandExec-4.php| 44| Insert < ls > in the name field
i2| Remote File Inclusion| CWE-98| Critical| possible to include a script throught the files field| WAP| http://localhost/vuln_wa/FileUpload/fileupload1.php| fileupload1.php| 28| Insert <img src=x onerror=prompt()> in the files field
i2| Path Traversal| CWE-35| Critical| It is possible for an attacker to access files and directories in the server's machine| ZAP| http://localhost/vuln_wa/FileInclusion/pages/lvl1.php?file=%2Fetc%2Fpasswd| lvl1.php| 26 | Access the URL
i2| Remote File Inclusion| CWE-98| Critical| It can be possible for an attacker to include local or remote files or even specifiy a remote URL from where the server will obtain code to execute| ZAP| http://localhost/vuln_wa/FileInclusion/pages/lvl1.php?file=http%3A%2F%2Fwww.google.com%2F| lvl1.php| 26| Access the URL
abp00| SQL Injection| CWE-89| Critical| It is possible to login with any username using a tautology in the username string upon login| SonarQube/SpotBugs| Not Applicable| TintolmarketServer.java| 136| Choose a username and insert <a' OR '1'='1> when asked for the password
abp00| SQL Injection| CWE-89| Medium| It is possible to broadcast a message by inserting a tautology when asked which user to communicate with| SonarQube/SpotBugs| Not Applicable| TintolmarketServer.java| 192| When prompted for the user to talk to: insert <a' OR '1'='1>
abp00| Cryptographic Failures| CWE-311| High| Exchanged user messages aren't encrypted both in transit and in the database| Manual Analysis| Not Applicable| TintolmarketServer.java| 91| Eavesdropping the network
abp00| SQL Injection| CWE-89| Critical| It is possible to perform SQL Injection in the message field| Manual Analysis| Not Applicable| TintolmarketServer.java| 203/205| Insert < ola; \n' WHERE username = 'client1'; DROP TABLE users;-- > into the message field
abc10| SQL Injection| CWE-89| Critical| It is possible to perform SQL Injection through the password field| Bandit| Not Applicable| ServerGUI.py| 92| Insert <client1'); DROP TABLE users;> in the password field when signing up with a new user
abc10| Improper Check or Handling of Exceptional Conditions| CWE-703| Low| program continues without treating the exception| Bandit| Not Applicable| ServerGUI.py| 313| Not exploitable
abc10| Improper Check or Handling of Exceptional Conditions| CWE-703| Low| program continues without treating the exception| Bandit| Not Applicable| ServerGUI.py| 341| Not exploitable
abc10| Improper Check or Handling of Exceptional Conditions| CWE-703| Low| program continues without treating the exception| Bandit| Not Applicable| ClientGUI.py| 236| Not exploitable
abc10| OS Command Injection| CWE-78| Medium| possible to execute OS command through the chat box| Bandit| Not Applicable| ClientGUI.py| 282| Insert < ok'), exec("import os"), print(os.popen("dir").read()), self.chat_room_text_box.insert(END,'ola > in the message box
abc10| Cryptographic Failures| CWE-311| High| Exchanged user messages aren't encrypted both in transit and in the database| Manual Analysis| Not Applicable| ClientGUI.py| 286| Eavesdropping the network
