Feed;Column1;_1;_2;_3;_4;_5;_6;Column2
;Aplicacao;Vulnerabilidades;Description;Other Info;Solucao;Risk;Tool;
1;xvj12;PII Disclosure;The response contains Personally Identifiable Information, such as CC number, SSN and similar sensitive data.;"Credit Card Type detected: Maestro; Bank Identification Number: 500544; Brand: MAESTRO";Check the response for the potential presence of personally identifiable information (PII), ensure nothing sensitive is leaked by the application.;High;Zap;
;;Absence of Anti-CSRF Tokens;"No Anti-CSRF tokens were found in a HTML submission form.
A cross-site request forgery is an attack that involves forcing a victim to send an HTTP request to a target destination without their knowledge or intent in order to perform an action as the victim.";"No known Anti-CSRF token [anticsrf, CSRFToken, __RequestVerificationToken, csrfmiddlewaretoken, authenticity_token, OWASP_CSRFTOKEN, anoncsrf, csrf_token, _csrf, _csrfSecret, __csrf_magic, CSRF, _token, _csrf_token] was found in the following HTML form: [Form 1: ""formSubmitBtn"" ""password"" ""username"" ].";"Phase: Architecture and Design
Use a vetted library or framework that does not allow this weakness to occur or provides constructs that make this weakness easier to avoid.
For example, use anti-CSRF packages such as the OWASP CSRFGuard.";Medium;Zap;
;;Content Security Policy (CSP) Header Not Set;Content Security Policy (CSP) is an added layer of security that helps to detect and mitigate certain types of attacks, including Cross Site Scripting (XSS) and data injection attacks.;;Ensure that your web server, application server, load balancer, etc. is configured to set the Content-Security-Policy header.;Medium;Zap;
;;"Server Leaks Version Information via ""Server"" HTTP Response Header Field";"The web/application server is leaking version information via the ""Server"" HTTP response header. Access to such information may facilitate attackers identifying other vulnerabilities your web/application server is subject to.";;"Ensure that your web server, application server, load balancer, etc. is configured to suppress the ""Server"" header or provide generic details.";Low;Zap;
;;Timestamp Disclosure - Unix;A timestamp was disclosed by the application/web server - Unix;1633867200, which evaluates to: 2021-10-10 13:00:00;Manually confirm that the timestamp data is not sensitive, and that the data cannot be aggregated to disclose exploitable patterns.;Low;Zap;
;;X-Content-Type-Options Header Missing;The Anti-MIME-Sniffing header X-Content-Type-Options was not set to 'nosniff'. This allows older versions of Internet Explorer and Chrome to perform MIME-sniffing on the response body, potentially causing the response body to be interpreted and displayed as a content type other than the declared content type.;"This issue still applies to error type pages (401, 403, 500, etc.) as those pages are often still affected by injection issues, in which case there is still concern for browsers sniffing pages away from their actual content type.
At ""High"" threshold this scan rule will not alert on client or server error responses.";Ensure that the application/web server sets the Content-Type header appropriately, and that it sets the X-Content-Type-Options header to 'nosniff' for all web pages.;Low;Zap;
;;Re-examine Cache-control Directives;The cache-control header has not been set properly or is missing, allowing the browser and proxies to cache content. For static assets like css, js, or image files this might be intended, however, the resources should be reviewed to ensure that no sensitive content will be cached.;;"For secure content, ensure the cache-control HTTP header is set with ""no-cache, no-store, must-revalidate"". If an asset should be cached consider setting the directives ""public, max-age, immutable"".";Informational;Zap;
;;Retrieved from Cache;The content was retrieved from a shared cache. If the response data is sensitive, personal or user-specific, this may result in sensitive information being leaked. In some cases, this may even result in a user gaining complete control of the session of another user, depending on the configuration of the caching components in use in their environment.;The presence of the 'Age' header indicates that that a HTTP/1.1 compliant caching server is in use.;"Validate that the response does not contain sensitive, personal or user-specific information.  If it does, consider the use of the following HTTP response headers, to limit, or prevent the content being stored and retrieved from the cache by another user:
Cache-Control: no-cache, no-store, must-revalidate, private";Informational;Zap;
;; Usage of hard-coded secret;Storing secrets directly in your code is a security risk. Instead, opt for environment variables or a secret management system to safeguard your secrets.;;;Critical;Beaeer Cli;
