APP,Vulnerabilidades,Descrição,Nível da ameaça,Dificuldade,Linguagem,Vetor de entrada,Ataque,Parametro,File,Linha,Ferramenta,Tags,Outros
i2,Remote OS Command Injection,É possivel executar comandos na pagina web que interagem com a consola do sistema operativo,Elevado,Facil,PHP,CommandExecution/CommandExec-1.php?password=ZAP&username=type+%25SYSTEMROOT%25%5Cwin.ini,type %SYSTEMROOT%\win.ini,username,CommandExec-1.php,25,OWASP ZAP 2.13.0,CWE ID:78; WASC ID:31,https://cwe.mitre.org/data/definitions/78.html;
i2,Remote OS Command Injection,É possivel executar comandos na pagina web que interagem com a consola do sistema operativo,Elevado,Facil,PHP,CommandExecution/CommandExec-2.php?typeBox=shutdown%20-f%20-s%20-t%20300,shutdown -f -s -t 300,typeBox,CommandExec-2.php,25,-,CWE ID:78; WASC ID:31,https://cwe.mitre.org/data/definitions/78.html
i2,Remote OS Command Injection,É possivel executar comandos na pagina web que interagem com a consola do sistema operativo,Elevado,Facil,PHP,CommandExecution/CommandExec-3.php?typeBox=dir,dir,typeBox,CommandExec-3.php,39,-,CWE ID:78; WASC ID:31,https://cwe.mitre.org/data/definitions/78.html
i2,Remote OS Command Injection,É possivel executar comandos na pagina web que interagem com a consola do sistema operativo,Elevado,Facil,PHP,CommandExecution/CommandExec-4.php?typeBox=dir+%2Fa,dir /a,typeBox,CommandExec-4.php,44,-,CWE ID:78; WASC ID:31,https://cwe.mitre.org/data/definitions/78.html
i2,Directory Browsing,É possivel executar comandos na pagina web que interagem com a consola do sistema operativo,Medio,Facil,PHP,CommandExecution/,-,-,-,-,OWASP ZAP 2.13.0,CWE ID:548; WASC ID:48,https://cwe.mitre.org/data/definitions/548.html
i2,Absence of Anti-CSRF Tokens,Uma falsificação de solicitação entre sites é um ataque que envolve forçar uma vítima a enviar uma solicitação HTTP para um destino alvo sem seu conhecimento ou intenção a fim de executar uma ação como vítima.,Medio,Facil,PHP,CommandExecution/CommandExec-1.php,-,-,CommandExec-1.php,-,OWASP ZAP 2.13.0,CWE ID:352; WASC ID:9,https://cwe.mitre.org/data/definitions/352.html
i2,SQL Injection,Num SQL injection attack o utilizador pode submeter uma consulta SQL diretamente à base de dados obtendo acesso sem fornecer as credenciais adequadas.,Elevado,Facil,PHP,SQL/sql1.php,ZAP' OR '1'='1' -- ,firstname,sql1.php,40,OWASP ZAP 2.13.0,CWE ID:89; WASC ID:19,https://cwe.mitre.org/data/definitions/89.html
i2,SQL Injection,Num SQL injection attack o utilizador pode submeter uma consulta SQL diretamente à base de dados obtendo acesso sem fornecer as credenciais adequadas.,Elevado,Facil,PHP,SQL/sql2.php,1 OR 1 = 1,number,sql2.php,38,-,CWE ID:89; WASC ID:19,https://cwe.mitre.org/data/definitions/89.html
i2,SQL Injection,Num SQL injection attack o utilizador pode submeter uma consulta SQL diretamente à base de dados obtendo acesso sem fornecer as credenciais adequadas.,Elevado,Facil,PHP,SQL/sql3.php,1 ' OR 1 = '1,number,sql3.php,39,-,CWE ID:89; WASC ID:19,https://cwe.mitre.org/data/definitions/89.html
i2,SQL Injection,Num SQL injection attack o utilizador pode submeter uma consulta SQL diretamente à base de dados obtendo acesso sem fornecer as credenciais adequadas.,Elevado,Facil,PHP,SQL/sql4.php,1  OR 1 =  1,number,sql4.php,52,-,CWE ID:89; WASC ID:19,https://cwe.mitre.org/data/definitions/89.html
i2,SQL Injection,Num SQL injection attack o utilizador pode submeter uma consulta SQL diretamente à base de dados obtendo acesso sem fornecer as credenciais adequadas.,Elevado,Facil,PHP,SQL/sql6.php?number=1+%27+OR+1+%3D+%271&submit=Submit,1 ' OR 1 = '1,number,sql6.php,36,-,CWE ID:89; WASC ID:19,https://cwe.mitre.org/data/definitions/89.html
i2,Directory Browsing,É possível visualizar a listagem do diretório. A listagem de diretórios pode revelar scripts ocultos arquivos de origem de backup que podem ser acessados ​​para ler informações confidenciais.,Medio,Facil,PHP,FileInclusion/pages/,-,-,-,-,-,CWE ID:548; WASC ID:48,https://cwe.mitre.org/data/definitions/548.html
i2,Cross Site Scripting (Reflected),Cross-site Scripting (XSS) é uma técnica de ataque que envolve a execução do código fornecido pelo invasor na instância do navegador de um usuário vitima.,Elevado,Facil,PHP,XSS/XSS_level1.php?submit=Submit&username=%3CscrIpt%3Ealert%281%29%3B%3C%2FscRipt%3E,<scrIpt>alert(1);</scRipt>,username,XSS_level1.php,22,OWASP ZAP 2.13.0,CWE ID: 79; WASC ID: 8,https://cwe.mitre.org/data/definitions/79.html
i2,Cross Site Scripting (Reflected),Cross-site Scripting (XSS) é uma técnica de ataque que envolve a execução do código fornecido pelo invasor na instância do navegador de um usuário vitima.,Elevado,Facil,PHP,"XSS/XSS_level2.php?username=<sc<script>ript>alert%28""ola""%29<%2Fscript>&submit=Submit","<sc<script>ript>alert(""ola"")</script>",username,XSS_level2.php,22,-,CWE ID: 79; WASC ID: 8,https://cwe.mitre.org/data/definitions/79.html
i2,Cross Site Scripting (Reflected),Cross-site Scripting (XSS) é uma técnica de ataque que envolve a execução do código fornecido pelo invasor na instância do navegador de um usuário vitima.,Elevado,Facil,PHP,XSS/XSS_level3.php?username=<img+src%3Dx+onerror%3Dalert%28%27AlertXSS%27%29>&submit=Submit,<img src=x onerror=alert('AlertXSS')>,username,XSS_level3.php,22,-,CWE ID: 79; WASC ID: 8,https://cwe.mitre.org/data/definitions/79.html
i2,Cross Site Scripting (Reflected),Cross-site Scripting (XSS) é uma técnica de ataque que envolve a execução do código fornecido pelo invasor na instância do navegador de um usuário vitima.,Elevado,Facil,PHP,XSS/XSS_level4.php?username=<img+src%3Dx+onerror%3Dalert%28%27AlertXSS%27%29>&submit=Submit,<img src=x onerror=alert('AlertXSS')>,username,XSS_level4.php,24,-,CWE ID: 79; WASC ID: 8,https://cwe.mitre.org/data/definitions/79.html
i2,Forced_browsing,É possivel ir à raiz do projeto e encontrar ficheiros de configurações sem qualquer proteção,Elevado,Facil,PHP,127.0.0.1/{site}/,-,-,index.php,-,-,CWE ID:425,https://cwe.mitre.org/data/definitions/425.html
i2,Unrestricted Upload of File,Upload de ficherios sem verificação do tipo de ficheiro,Elevado,Facil,PHP,FileUpload/fileupload1.php,teste.php,file,fileupload1.php,23 - 29,-,CWE ID:434,https://cwe.mitre.org/data/definitions/434.html
i2,Path traversal,O produto usa entrada externa para construir um nome de caminho que deve estar dentro de um diretório restrito,Elevado,Facil,PHP,FileInclusion/pages/lvl1.php?file=../hint2/hint2.php,../hint2/hint2.php,file,lvl1.php,25,-,CWE ID:35,https://cwe.mitre.org/data/definitions/35.html
i2,Path traversal,O produto usa entrada externa para construir um nome de caminho que deve estar dentro de um diretório restrito,Elevado,Facil,PHP,FileInclusion/pages/lvl2.php?file=../hint2/hint2.php,..././hint2/hint2.php,file,lvl2.php,32,-,CWE ID:35,https://cwe.mitre.org/data/definitions/35.html
abd11,Password fraca,A password e o nome de usuario do adiministrador forma fáceis de descobrir ,Elevado,Facil,Python,terminal do cliente,user: admin / password: admin,-,client.py,-,-,CWE ID:521,https://cwe.mitre.org/data/definitions/521.html
abd11,SQL Injection,Num SQL injection attack o utilizador pode submeter uma consulta SQL diretamente à base de dados obtendo acesso sem fornecer as credenciais adequadas.,Elevado,Media,Python,-,-,-,server.py:,77-79,Bandit,CWE ID:78 ,https://cwe.mitre.org/data/definitions/78.html
abd11,SQL Injection,Num SQL injection attack o utilizador pode submeter uma consulta SQL diretamente à base de dados obtendo acesso sem fornecer as credenciais adequadas.,Elevado,Media,Python,-,-,-,server.py:,43-47,Bandit,CWE ID:89,https://cwe.mitre.org/data/definitions/89.html
abd11,SQL Injection,Num SQL injection attack o utilizador pode submeter uma consulta SQL diretamente à base de dados obtendo acesso sem fornecer as credenciais adequadas.,Elevado,Media,Python,-,-,-,server.py:,54-58,Bandit,CWE ID:89,https://cwe.mitre.org/data/definitions/89.html
abd11,Dados não cifrados,Os logins da base de dados encontram-se em texto livre,Elevado,Facil,Python,-,-,-,base de dados,-,-,CWE ID:311,https://cwe.mitre.org/data/definitions/311.html
abd11,SQL Injection,Num SQL injection attack o utilizador pode submeter uma consulta SQL diretamente à base de dados obtendo acesso sem fornecer as credenciais adequadas.,Elevado,Facil,Python,terminal do cliente,!getlogin:website') OR ('1'='1 ,-,client.py,-,-,CWE ID:89; WASC ID:19,https://cwe.mitre.org/data/definitions/89.html
abd11,SQL Injection,Num SQL injection attack o utilizador pode submeter uma consulta SQL diretamente à base de dados obtendo acesso sem fornecer as credenciais adequadas.,Elevado,Facil,Python,terminal do cliente,Received: !addlogin:da:da:website'); DROP TABLE logins; -- ,-,client.py,-,-,CWE ID:89; WASC ID:20,https://cwe.mitre.org/data/definitions/89.html
abd11,Injeção de comandos,É possivel injetar comandos que são executados no lado do servidor,Elevado,Media,Python,terminal do cliente,"!admin admin admin exec ""dir"" ",-,client.py,-,-,CWE ID:77,https://cwe.mitre.org/data/definitions/77.html
abd11,Ataque man-in-the-middle,É possivel fazer ataques man-in-the-middle com ajuda do Wireshark,Elevado,Facil,Python,-,-,-,-,-,Wireshark,CWE ID:300,https://cwe.mitre.org/data/definitions/300.html
xvj23,Timing Attack,Um timing attack é uma forma de side-channel attack. O que significa que não tira partido da forma como o código está estruturado mas explora indícios externas que permitem ao atacante inferir o estado do programa.,Elevado,Dificil,Java,-,-,-,TalkToThread.java,80,Snyk,CWE ID:208,https://cwe.mitre.org/data/definitions/208.html
xvj23,Ataque de serialização,A serialização é um processo de conversão de um objeto numa sequência de bytes que pode ser persistida num disco ou numa base de dados ou pode ser enviada através de fluxos.,Médio,Dificil,Java,-,-,-,Client.java,111 /324,Snyk,CWE-502,https://cwe.mitre.org/data/definitions/502.html
xvj23,Path Travesal,Um ataque de Directory Traversal (também conhecido como path traversal) visa aceder a ficheiros e directórios que estão armazenados fora da pasta pretendida.,Médio,Dificil,Java,-,-,-,Client.java,111 / 230 / 270 / 324 / 340 / 348,Snyk,CWE ID:23,https://cwe.mitre.org/data/definitions/23.html
xvj23,Hardcoded Secret,"
Hardcoded value array é utilizada como um sal de cifra.",Elevado,Dificil,Java,-,-,-,Client.java,306 - 308,Snyk,CWE ID:547,https://cwe.mitre.org/data/definitions/547.html
xvj23,Inadequate Padding for AES encryption,utilização de palavras-passe pouco codificadas ou hashes fracas os atacantes podem potencialmente obter acesso não autorizado através de um ataque de força bruta.,Médio,Dificil,Java,-,-,-,EncryptionUtils.java,84 / 97,Snyk,CWE ID:326,https://cwe.mitre.org/data/definitions/326.html
xvj23,Use of a Broken or Risky Cryptographic Algorithm,Quando informações sensíveis são transmitidas com uma encriptação fraca. Os atacantes podem intercetar as informações e desencriptá-las.,Elevado,Dificil,Java,-,-,-,EncryptionUtils.java,84 / 97,Snyk,CWE ID:327,https://cwe.mitre.org/data/definitions/327.html
xvj23,Path Travesal,Um ataque de Directory Traversal (também conhecido como path traversal) visa aceder a ficheiros e directórios que estão armazenados fora da pasta pretendida.,Médio,Dificil,Java,-,-,-,ServerThread.java,30 / 46,Snyk,CWE ID:23,https://cwe.mitre.org/data/definitions/23.html
xvj23,SQL Injection,Num SQL injection attack o utilizador pode submeter uma consulta SQL diretamente à base de dados obtendo acesso sem fornecer as credenciais adequadas. ,Elevado,Dificil,Java,-,-,-,ServerThread.java,53,Snyk,CWE ID:89,https://cwe.mitre.org/data/definitions/89.html
