App,Description,Vulnerability,CWE,Exploit,File Location,Tool,References
ChatP2P App,"Using the command 'strings' on the application binaries, or decompiling them with 'javap -c' it is possible to find hard-coded credentials for privelleged users",Use of Hard-coded Credentials,CWE-798,Using the command 'javap -c UserAuthentication.class' it is possible to see that the method 'authenticate()' bypasses authentication for the pair user = 'debug' and password = 'debug',chatP2P.java:53,SonarQube + Static Analysis + Horusec,https://cwe.mitre.org/data/definitions/798.html | https://www.baeldung.com/linux/find-string-binary-file
ChatP2P App,"Using the command 'strings' on the application binaries, or decompiling them with 'javap -c' it is possible to find hard-coded credentials for privelleged users",Use of Hard-coded Credentials,CWE-798,"Using the command 'strings' on the UserAuthentication.class it is possible to find the strings 'admin' and '1234', and infer that this is a possible user and password pair",chatP2P.java:71,SonarQube + Static Analysis,https://cwe.mitre.org/data/definitions/798.html | https://www.baeldung.com/linux/find-string-binary-file
ChatP2P App,"Formatted SQL queries can be difficult to maintain, debug and can increase the risk of SQL injection when concatenating untrusted values into the query",Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),CWE-89, ' or 1=1),chatP2P.java:59,SonarQube + Static Analysis + Horusec,https://cwe.mitre.org/data/definitions/89.html
ChatP2P App,"Formatted SQL queries can be difficult to maintain, debug and can increase the risk of SQL injection when concatenating untrusted values into the query",Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),CWE-89, ' or 1=1),chatP2P.java:101,SonarQube + Static Analysis,https://cwe.mitre.org/data/definitions/89.html
ChatP2P App,"Cryptographic hash algorithms such as MD2, MD4, MD5, MD6, HAVAL-128, HMAC-MD5, DSA (which uses SHA-1), RIPEMD, RIPEMD-128, RIPEMD-160, HMACRIPEMD160 and SHA-1 are no longer considered secure, because it is possible to have collisions (little computational effort is enough to find two or more different inputs that produce the same hash).",Use of Weak Hash,CWE-328,,chatP2P.java:117,SonarQube + Horusec,https://cwe.mitre.org/data/definitions/328.html
ChatP2P App,"Development tools and frameworks usually have options to make debugging easier for developers. Although these features are useful during development, they should never be enabled for applications deployed in production. Debug instructions or error messages can leak detailed information about the system, like the application’s path or file names.",Generation of Error Message Containing Sensitive Information,CWE-209,Read error stack trace to obtain extra information,chatP2P.java:42,SonarQube + Horusec,https://cwe.mitre.org/data/definitions/209.html
ChatP2P App,"Development tools and frameworks usually have options to make debugging easier for developers. Although these features are useful during development, they should never be enabled for applications deployed in production. Debug instructions or error messages can leak detailed information about the system, like the application’s path or file names.",Generation of Error Message Containing Sensitive Information,CWE-209,Read error stack trace to obtain extra information,chatP2P.java:64,SonarQube + Static Analysis,https://cwe.mitre.org/data/definitions/209.html
ChatP2P App,"Development tools and frameworks usually have options to make debugging easier for developers. Although these features are useful during development, they should never be enabled for applications deployed in production. Debug instructions or error messages can leak detailed information about the system, like the application’s path or file names.",Generation of Error Message Containing Sensitive Information,CWE-209,Read error stack trace to obtain extra information,chatP2P.java:87,SonarQube + Static Analysis,https://cwe.mitre.org/data/definitions/209.html
ChatP2P App,"Development tools and frameworks usually have options to make debugging easier for developers. Although these features are useful during development, they should never be enabled for applications deployed in production. Debug instructions or error messages can leak detailed information about the system, like the application’s path or file names.",Generation of Error Message Containing Sensitive Information,CWE-209,Read error stack trace to obtain extra information,chatP2P.java:109,SonarQube + Static Analysis,https://cwe.mitre.org/data/definitions/209.html
ChatP2P App,"Development tools and frameworks usually have options to make debugging easier for developers. Although these features are useful during development, they should never be enabled for applications deployed in production. Debug instructions or error messages can leak detailed information about the system, like the application’s path or file names.",Generation of Error Message Containing Sensitive Information,CWE-209,Read error stack trace to obtain extra information,chatP2P.java:125,SonarQube + Static Analysis,https://cwe.mitre.org/data/definitions/209.html
ChatP2P App,"Development tools and frameworks usually have options to make debugging easier for developers. Although these features are useful during development, they should never be enabled for applications deployed in production. Debug instructions or error messages can leak detailed information about the system, like the application’s path or file names.",Generation of Error Message Containing Sensitive Information,CWE-209,Read error stack trace to obtain extra information,chatP2P.java:165,SonarQube + Static Analysis,https://cwe.mitre.org/data/definitions/209.html
ChatP2P App,"Development tools and frameworks usually have options to make debugging easier for developers. Although these features are useful during development, they should never be enabled for applications deployed in production. Debug instructions or error messages can leak detailed information about the system, like the application’s path or file names.",Generation of Error Message Containing Sensitive Information,CWE-209,Read error stack trace to obtain extra information,chatP2P.java:199,SonarQube + Static Analysis,https://cwe.mitre.org/data/definitions/209.html
ChatP2P App,"Development tools and frameworks usually have options to make debugging easier for developers. Although these features are useful during development, they should never be enabled for applications deployed in production. Debug instructions or error messages can leak detailed information about the system, like the application’s path or file names.",Generation of Error Message Containing Sensitive Information,CWE-209,Read error stack trace to obtain extra information,chatP2P.java:341,SonarQube + Static Analysis,https://cwe.mitre.org/data/definitions/209.html
ChatP2P App,"Development tools and frameworks usually have options to make debugging easier for developers. Although these features are useful during development, they should never be enabled for applications deployed in production. Debug instructions or error messages can leak detailed information about the system, like the application’s path or file names.",Generation of Error Message Containing Sensitive Information,CWE-209,Read error stack trace to obtain extra information,chatP2P.java:357,SonarQube + Static Analysis,https://cwe.mitre.org/data/definitions/209.html
ChatP2P App,"Development tools and frameworks usually have options to make debugging easier for developers. Although these features are useful during development, they should never be enabled for applications deployed in production. Debug instructions or error messages can leak detailed information about the system, like the application’s path or file names.",Generation of Error Message Containing Sensitive Information,CWE-209,Read error stack trace to obtain extra information,chatP2P.java:383,SonarQube + Static Analysis,https://cwe.mitre.org/data/definitions/209.html
ChatP2P App,"Development tools and frameworks usually have options to make debugging easier for developers. Although these features are useful during development, they should never be enabled for applications deployed in production. Debug instructions or error messages can leak detailed information about the system, like the application’s path or file names.",Generation of Error Message Containing Sensitive Information,CWE-209,Read error stack trace to obtain extra information,chatP2P.java:460,SonarQube + Static Analysis,https://cwe.mitre.org/data/definitions/209.html
ChatP2P App,The product transmits sensitive or security-critical data in cleartext in a communication channel that can be sniffed by unauthorized actors.,Cleartext Transmission of Sensitive Information,CWE-319,,chatP2P.java:333,WireShark + Static Analysis,https://cwe.mitre.org/data/definitions/319.html
ChatP2P App,"The product uses an authentication mechanism to restrict access to specific users or identities, but the mechanism does not sufficiently prove that the claimed identity is correct.",Weak Authentication,CWE-1390,We can create our own java script to connect to an waiting peer without prior authentication,chatP2P.java:364,Static Analysis,https://cwe.mitre.org/data/definitions/1390.html
ChatP2P App,"The product allocates a reusable resource or group of resources on behalf of an actor without imposing any restrictions on the size or number of resources that can be allocated, in violation of the intended security policy for that actor.",Allocation of Resources Without Limits or Throttling,"		
CWE-770",An attacker can lock the access to the database for and undetermined amount of time just by connecting to the service,chatP2P.java:189,Static Analysis,https://cwe.mitre.org/data/definitions/770.html
Chat,"Authentication Bypass by Primary Weakness in GitHub repository adodb/adodb prior to 5.20.21.
An attacker can inject values into a PostgreSQL connection string by providing a parameter surrounded by single quotes.","Authentication-bypass
Gain privilege","CWE-287
CWE-305",https://huntr.com/bounties/bdf5f216-4499-4225-a737-b28bc6f5801c,chat/classes/adodb/drivers/adodb-postgres64.inc.php:54,Static analysis,"https://security.snyk.io/vuln/SNYK-PHP-ADODBADODBPHP-2361259 
https://www.cvedetails.com/cve/CVE-2021-3850/ 
https://huntr.com/bounties/bdf5f216-4499-4225-a737-b28bc6f5801c 
https://www.cve.org/CVERecord?id=CVE-2021-3850 
https://nvd.nist.gov/vuln/detail/CVE-2021-3850 
https://github.com/advisories/GHSA-65mj-7c86-79jf 
https://github.com/ADOdb/ADOdb/commit/b4d5ce70034c5aac3a1d51d317d93c037a0938d2 "
Chat,Cross site Scripting by registering as a new user and then by accessing the setup.php and registering a new admin it runs every script inside the names of the users,Cross-Site Scripting (XSS),CWE-79,"<script>alert(""Hacker inside"")</script>",chat/classes/classUser.php:342,Static analysis,https://cwe.mitre.org/data/definitions/79.html
Chat,"The web application does not adequately enforce appropriate authorization on all restricted URLs, scripts, or files.
And so application is susceptible to direct request attacks trying to found urls that sould be restricted",Force-Browsing,CWE-425,"java -jar DirBuster-1.0.jar
target: https://localhost/chat/",Missing adequate authorization to restricted URLs,dirbuster,https://cwe.mitre.org/data/definitions/425.html
Vulnerable Web Application,The user input ($firstname) is directly inserted into the SQL statement ($sql) using single quotes. This means any malicious code entered by a user can be interpreted as part of the SQL query.,SQL Injection - Improper Control of Argument to External Function,CWE-89, ' OR '1'='1,vuln_wa/SQL/sql1.php:39,WAP + horusec,https://cwe.mitre.org/data/definitions/89.html
Vulnerable Web Application,The code builds the SQL statement ($query) by directly inserting the value of $number (which comes from user input via $_GET) within single quotes.,SQL Injection - Improper Control of Argument to External Function,CWE-89, ' OR '1'='1,vuln_wa/SQL/sql6.php:35,WAP + horusec,https://cwe.mitre.org/data/definitions/89.html
Vulnerable Web Application,"While it appears the code aims to use the $number variable as a numeric value in the query, relying solely on type casting might not be enough.",SQL Injection - Improper Control of Argument to External Function,CWE-89,1 OR 1=1,vuln_wa/SQL/sql2.php:38,WAP + horusec,https://cwe.mitre.org/data/definitions/89.html
