Vulnerability, CWE Id, Description,Project Id,File,Line,Severity,Tool Used
SQL injection,89, SQL injection vector through string-based query construction, abc21, db_acess.py, 13, High, Bandit
SQL injection,89, SQL injection vector through string-based query construction, abc21, db_acess.py, 35, High, Bandit
SQL injection,89, SQL injection vector through string-based query construction, abc21, db_acess.py, 51, High, Bandit
SQL injection,89, SQL injection vector through string-based query construction, abc21, db_acess.py, 64, High, Bandit
SQL injection,89, SQL injection vector through string-based query construction, abc21, db_acess.py, 82, High, Bandit
Stored XSS, 707, Injection of malicious executable scripts into code, abc21, home.py, 14, Medium, ZAP
Insecure Communication, 319, Transmission of data over network without adequate protection against interception or tampering, abc21, auth.py, 13, High, Wireshark
Active Debug Code, 489, Debugging code enabled or active which create unintended entry point or expose sensitive information, abc21, app.py, 38, High, Bandit
Missing Anti-CSRF Tokens, 352, No verification on wether a well-formed or valid request was provided by the user, abc21, auth.py, 11, Medium, ZAP
CSP Header not set,693, No protection against directed attacks,abc21, NA, NA, Medium, ZAP
Missing Anti-clickjacking Header, 1021, Incorrect restriction of frame object or UI layers originating from another application,abc21, NA, NA, Medium, ZAP
SQL injection, 89, SQL injection vector through string-based query construction, xvj23, ServerSkel.java, 345, High, Sonarqube
Insecure Communication, 319, Transmission of data over network without adequate protection against interception or tampering, xvj23, ServerSkel.java, 230, High, Wireshark
Active Debug Code, 489, Debugging code enabled or active which create unintended entry point or expose sensitive information, xvj23, Utils.java, 78, High, Sonarqube
Weak Cryptographic Hash: Hardcoded PBE Salt,798,A weak cryptographic hash occurs due to a hardcoded PBE (Password-Based Encryption) salt compromising the security of the system,xvj23,Client.java, 306, Medium, Horusec
Insecure Random Number Generator,330, Insufficiently random numbers or values in a security context, xvj23, Utils.java, 18, High,Horusec
Potential Hard-coded credential,798, Potential Hard-coded credential. The software contains hard-coded credentials which it uses for its own inbound authentication outbound communication to external components or encryption of internal data., 7854b528-8e94-4429-8108-be3e4b8dcd93, index.php,29, CRITICAL,HorusecEngine
Potential Hard-coded credential,798, Potential Hard-coded credential. The software contains hard-coded credentials which it uses for its own inbound authentication outbound communication to external components or encryption of internal data., 7854b528-8e94-4429-8108-be3e4b8dcd93, index.php,30, CRITICAL,HorusecEngine
Potential Hard-coded credential,798, Potential Hard-coded credential. The software contains hard-coded credentials which it uses for its own inbound authentication outbound communication to external components or encryption of internal data., 7854b528-8e94-4429-8108-be3e4b8dcd93, index.php,44, CRITICAL,HorusecEngine
Potential Hard-coded credential,798, Potential Hard-coded credential. The software contains hard-coded credentials which it uses for its own inbound authentication outbound communication to external components or encryption of internal data., 7854b528-8e94-4429-8108-be3e4b8dcd93, index.php,45, CRITICAL,HorusecEngine
Server Leaks Version Information,200,The web/application server is git pleaking version information via the 'Server' HTTP response header which may facilitate attackers identifying vulnerabilities your web/application server is subject to.,localhost,/Resources/button.css,NA,Low,Web Security Scanner
Server Leaks Information via 'X-Powered-By',200,The web/application server is leaking information via the 'X-Powered-By' HTTP response header which may facilitate attackers identifying frameworks/components your web application is reliant upon.,localhost,/Vulnerable-Web-Application/,NA,Low,Web Security Scanner
X-Content-Type-Options Header Missing,693,The Anti-MIME-Sniffing header X-Content-Type-Options was not set to 'nosniff'. This allows MIME-sniffing of the response body potentially causing the response to be interpreted and displayed as a different content type than declared.,localhost,/Resources/button.css,NA,Low,Web Security Scanner
User Agent Fuzzer,20,This check looks at user-supplied input to identify where HTML attribute values might be controlled potentially allowing XSS. Further review by a security analyst is required to determine exploitability.,localhost,/Vulnerable-Web-Application/,NA,Informational,Web Security Scanner
User Controllable HTML Element Attribute (Potential XSS),20,User-supplied input in query parameters and POST data controls certain HTML attribute values, providing a hotspot for XSS which needs further review to determine exploitability.,localhost,/Vulnerable-Web-Application/,NA,Informational,Web Security Scanner
SQL Injection,89,SQL injection may be possible. The page results were successfully manipulated using boolean conditions indicating a vulnerability in handling SQL queries.,localhost,/Vulnerable-Web-Application/,NA,High,Web Security Scanner
Content Security Policy Not Set,693,CSP is an added layer of security that helps to detect and mitigate certain types of attacks including XSS and data injection attacks.,localhost,/sitemap.xml,NA,Medium,Web Security Scanner
Hidden File Found,538,A sensitive file was identified as accessible. This may leak administrative configuration or credential information.,localhost,/.git/config,NA,Medium,Web Security Scanner
Directory Browsing,548,It is possible to view the directory listing which may reveal hidden scripts include files backup source files etc.,localhost,/Resources/,NA,Medium,Web Security Scanner
Missing Anti-clickjacking Header,1021,The response does not include CSP with 'frame-ancestors' directive or X-Frame-Options to protect against 'ClickJacking' attacks.,localhost,/Vulnerable-Web-Application/,NA,Medium,Web Security Scanner
Parameter Tampering,472,Parameter manipulation caused an error page or Java stack trace to be displayed.,localhost,/Vulnerable-Web-Application/,NA,Medium,Web Security Scanner
Server Leaks Version Information,200,The web/application server is leaking version information via the 'Server' HTTP response header.,localhost,/Resources/button.css,NA,Low,Web Security Scanner
Absence of Anti-CSRF Tokens,352,No Anti-CSRF tokens were found in an HTML submission form which could allow CSRF attacks.,localhost,/Vulnerable-Web-Application/,NA,Low,Web Security Scanner

